id,name,numeric_code,capital,region_id,subregion_id
1,Afghanistan,004,Kabul,3,14
2,Aland Islands,248,Mariehamn,4,18
3,Albania,008,Tirana,4,16
4,Algeria,012,Algiers,1,1
5,American Samoa,016,Pago Pago,5,22
6,Andorra,020,Andorra la Vella,4,16
7,Angola,024,Luanda,1,2
8,Anguilla,660,The Valley,2,7
9,Antarctica,010,,6,
10,Antigua and Barbuda,028,St. John's,2,7
11,Argentina,032,Buenos Aires,2,8
12,Armenia,051,Yerevan,3,11
13,Aruba,533,Oranjestad,2,7
14,Australia,036,Canberra,5,19
15,Austria,040,Vienna,4,17
16,Azerbaijan,031,Baku,3,11
18,Bahrain,048,Manama,3,11
19,Bangladesh,050,Dhaka,3,14
20,Barbados,052,Bridgetown,2,7
21,Belarus,112,Minsk,4,15
22,Belgium,056,Brussels,4,17
23,Belize,084,Belmopan,2,9
24,Benin,204,Porto-Novo,1,3
25,Bermuda,060,Hamilton,2,6
26,Bhutan,064,Thimphu,3,14
27,Bolivia,068,Sucre,2,8
155,"Bonaire, Sint Eustatius and Saba",535,Kralendijk,2,7
28,Bosnia and Herzegovina,070,Sarajevo,4,16
29,Botswana,072,Gaborone,1,5
30,Bouvet Island,074,,,
31,Brazil,076,Brasilia,2,8
32,British Indian Ocean Territory,086,Diego Garcia,1,4
33,Brunei,096,Bandar Seri Begawan,3,13
34,Bulgaria,100,Sofia,4,15
35,Burkina Faso,854,Ouagadougou,1,3
36,Burundi,108,Bujumbura,1,4
37,Cambodia,116,Phnom Penh,3,13
38,Cameroon,120,Yaounde,1,2
39,Canada,124,Ottawa,2,6
40,Cape Verde,132,Praia,1,3
41,Cayman Islands,136,George Town,2,7
42,Central African Republic,140,Bangui,1,2
43,Chad,148,N'Djamena,1,2
44,Chile,152,Santiago,2,8
45,China,156,Beijing,3,12
46,Christmas Island,162,Flying Fish Cove,5,19
47,Cocos (Keeling) Islands,166,West Island,5,19
48,Colombia,170,Bogotá,2,8
49,Comoros,174,Moroni,1,4
50,Congo,178,Brazzaville,1,2
52,Cook Islands,184,Avarua,5,22
53,Costa Rica,188,San Jose,2,9
54,Cote D'Ivoire (Ivory Coast),384,Yamoussoukro,1,3
55,Croatia,191,Zagreb,4,16
56,Cuba,192,Havana,2,7
249,Curaçao,531,Willemstad,2,7
57,Cyprus,196,Nicosia,4,16
58,Czech Republic,203,Prague,4,15
51,Democratic Republic of the Congo,180,Kinshasa,1,2
59,Denmark,208,Copenhagen,4,18
60,Djibouti,262,Djibouti,1,4
61,Dominica,212,Roseau,2,7
62,Dominican Republic,214,Santo Domingo,2,7
64,Ecuador,218,Quito,2,8
65,Egypt,818,Cairo,1,1
66,El Salvador,222,San Salvador,2,9
67,Equatorial Guinea,226,Malabo,1,2
68,Eritrea,232,Asmara,1,4
69,Estonia,233,Tallinn,4,18
212,Eswatini,748,Mbabane,1,5
70,Ethiopia,231,Addis Ababa,1,4
71,Falkland Islands,238,Stanley,2,8
72,Faroe Islands,234,Torshavn,4,18
73,Fiji Islands,242,Suva,5,20
74,Finland,246,Helsinki,4,18
75,France,250,Paris,4,17
76,French Guiana,254,Cayenne,2,8
77,French Polynesia,258,Papeete,5,22
78,French Southern Territories,260,Port-aux-Francais,1,5
79,Gabon,266,Libreville,1,2
80,Gambia The,270,Banjul,1,3
81,Georgia,268,Tbilisi,3,11
82,Germany,276,Berlin,4,17
83,Ghana,288,Accra,1,3
84,Gibraltar,292,Gibraltar,4,16
85,Greece,300,Athens,4,16
86,Greenland,304,Nuuk,2,6
87,Grenada,308,St. George's,2,7
88,Guadeloupe,312,Basse-Terre,2,7
89,Guam,316,Hagatna,5,21
90,Guatemala,320,Guatemala City,2,9
91,Guernsey and Alderney,831,St Peter Port,4,18
92,Guinea,324,Conakry,1,3
93,Guinea-Bissau,624,Bissau,1,3
94,Guyana,328,Georgetown,2,8
95,Haiti,332,Port-au-Prince,2,7
96,Heard Island and McDonald Islands,334,,,
97,Honduras,340,Tegucigalpa,2,9
98,Hong Kong S.A.R.,344,Hong Kong,3,12
99,Hungary,348,Budapest,4,15
100,Iceland,352,Reykjavik,4,18
101,India,356,New Delhi,3,14
102,Indonesia,360,Jakarta,3,13
103,Iran,364,Tehran,3,14
104,Iraq,368,Baghdad,3,11
105,Ireland,372,Dublin,4,18
106,Israel,376,Jerusalem,3,11
107,Italy,380,Rome,4,16
108,Jamaica,388,Kingston,2,7
109,Japan,392,Tokyo,3,12
110,Jersey,832,Saint Helier,4,18
111,Jordan,400,Amman,3,11
112,Kazakhstan,398,Astana,3,10
113,Kenya,404,Nairobi,1,4
114,Kiribati,296,Tarawa,5,21
248,Kosovo,926,Pristina,4,15
117,Kuwait,414,Kuwait City,3,11
118,Kyrgyzstan,417,Bishkek,3,10
119,Laos,418,Vientiane,3,13
120,Latvia,428,Riga,4,18
121,Lebanon,422,Beirut,3,11
122,Lesotho,426,Maseru,1,5
123,Liberia,430,Monrovia,1,3
124,Libya,434,Tripolis,1,1
125,Liechtenstein,438,Vaduz,4,17
126,Lithuania,440,Vilnius,4,18
127,Luxembourg,442,Luxembourg,4,17
128,Macau S.A.R.,446,Macao,3,12
130,Madagascar,450,Antananarivo,1,4
131,Malawi,454,Lilongwe,1,4
132,Malaysia,458,Kuala Lumpur,3,13
133,Maldives,462,Male,3,14
134,Mali,466,Bamako,1,3
135,Malta,470,Valletta,4,16
136,Man (Isle of),833,"Douglas, Isle of Man",4,18
137,Marshall Islands,584,Majuro,5,21
138,Martinique,474,Fort-de-France,2,7
139,Mauritania,478,Nouakchott,1,3
140,Mauritius,480,Port Louis,1,4
141,Mayotte,175,Mamoudzou,1,4
142,Mexico,484,Ciudad de México,2,9
143,Micronesia,583,Palikir,5,21
144,Moldova,498,Chisinau,4,15
145,Monaco,492,Monaco,4,17
146,Mongolia,496,Ulan Bator,3,12
147,Montenegro,499,Podgorica,4,16
148,Montserrat,500,Plymouth,2,7
149,Morocco,504,Rabat,1,1
150,Mozambique,508,Maputo,1,4
151,Myanmar,104,Nay Pyi Taw,3,13
152,Namibia,516,Windhoek,1,5
153,Nauru,520,Yaren,5,21
154,Nepal,524,Kathmandu,3,14
156,Netherlands,528,Amsterdam,4,17
157,New Caledonia,540,Noumea,5,20
158,New Zealand,554,Wellington,5,19
159,Nicaragua,558,Managua,2,9
160,Niger,562,Niamey,1,3
161,Nigeria,566,Abuja,1,3
162,Niue,570,Alofi,5,22
163,Norfolk Island,574,Kingston,5,19
115,North Korea,408,Pyongyang,3,12
129,North Macedonia,807,Skopje,4,16
164,Northern Mariana Islands,580,Saipan,5,21
165,Norway,578,Oslo,4,18
166,Oman,512,Muscat,3,11
167,Pakistan,586,Islamabad,3,14
168,Palau,585,Melekeok,5,21
169,Palestinian Territory Occupied,275,East Jerusalem,3,11
170,Panama,591,Panama City,2,9
171,Papua New Guinea,598,Port Moresby,5,20
172,Paraguay,600,Asuncion,2,8
173,Peru,604,Lima,2,8
174,Philippines,608,Manila,3,13
175,Pitcairn Island,612,Adamstown,5,22
176,Poland,616,Warsaw,4,15
177,Portugal,620,Lisbon,4,16
178,Puerto Rico,630,San Juan,2,7
179,Qatar,634,Doha,3,11
180,Reunion,638,Saint-Denis,1,4
181,Romania,642,Bucharest,4,15
182,Russia,643,Moscow,4,15
183,Rwanda,646,Kigali,1,4
184,Saint Helena,654,Jamestown,1,3
185,Saint Kitts and Nevis,659,Basseterre,2,7
186,Saint Lucia,662,Castries,2,7
187,Saint Pierre and Miquelon,666,Saint-Pierre,2,6
188,Saint Vincent and the Grenadines,670,Kingstown,2,7
189,Saint-Barthelemy,652,Gustavia,2,7
